!EXCLAMATION-POINT	ˌɛkskləmˈeɪʃənpˌɔɪnt
#HASH-MARK	hˈæmˌɑːrk
#POUND-SIGN	pˈaʊndsˌaɪn
#SHARP-SIGN	ʃˈɑːrpsˌaɪn
%PERCENT	pɝsˈɛnt
&AMPERSAND	ˈæmpɝsˌænd
ELIZABETH(1)	ɪlˈɪzəbɪθ
ELIZABETH'S	ɪlˈɪzəbəθs
ELIZABETHAN	ˌɛlɪzəbˈiːθən
ELIZABETHTOWN	əlˈɪzəbɛθtˌaʊn
ELIZALDE	ɛliːzˈɑːldi
ELIZONDO	ˌɛlɪzˈɑːndoʊ
ELJER	ˈɛldʒɝ
ELK	ˈɛlk
ELKES	ˈɛlks
ELKHART	ˈɛlkhˌɑːrt
ELKHORN	ˈɛlkhˌɔrn
ELKIN	ɪlkˈɪn
ELKIND	ɪlkˈaɪnd
ELKIND(1)	ˈɛlkɪnd
ELKINGTON	ˈɛlkɪŋtən
ELKINS	ˈɛlkɪnz
ELKO	ˈɛlkoʊ
ELKS	ˈɛlks
ELKTON	ˈɛlktən
ELL	ˈɛl
ELLA	ˈɛlə
ELLA'S	ˈɛləz
ELLAMAY	ˈɛləmˌeɪ
ELLAN	ˈɛlən
ELLAN'S	ˈɛlənz
ELLARD	ˈɛlɝd
ELLE	ˈɛl
ELLEDGE	ˈɛlɪdʒ
ELLEFSON	ˈɛlɪfsən
ELLEGOOD	ˈɛlɪgʊd
ELLEMANN	ˈɛləmən
ELLEN	ˈɛlən
ELLEN'S	ˈɛlənz
ELLENA	ɛlˈɛnə
ELLENBECKER	ˈɛlɪnbɛkɝ
ELLENBERG	ˈɛlənbɝg
ELLENBERGER	ˈɛlənbɝgɝ
ELLENBOGEN	ˈɛlɪnbəgən
ELLENBURG	ˈɛlənbɝg
ELLENDER	ˈɛlɛndɝ
ELLENE	ˈɛlˌiːn
ELLENPORE	ˈɛlɪnpɔr
ELLENSON	ˈɛlɪnsən
ELLENWOOD	ˈɛlənwˌʊd
ELLER	ˈɛlɝ
ELLERBE	ˈɛlɝb
ELLERBEE	ɪlˈɝːbi
ELLERBROCK	ɪlˈɝːbrək
ELLERBY	ˈɛlɝbi
ELLEREY	ˈɛlɝi
ELLERMAN	ˈɛlɝmən
ELLERS	ˈɛlɝz
ELLERT	ˈɛlɝt
ELLERTSON	ˈɛlɝtsən
ELLERY	ˈɛlɝi
ELLESMERE	ˈɛlzmˌɪr
ELLESSE	ɛlˈɛs
ELLESTAD	ˈɛlɪstəd
ELLETT	ˈɛlɪt
ELLETTE	ɪlˈɛt
ELLEY	ˈɛli
ELLICE	ˈɛlɪs
ELLICOTT	ˈɛlɪkɑːt
ELLIE	ˈɛli
ELLIFF	ˈɛlɪf
ELLIJAY	iːlˈaɪdʒeɪ
ELLIMAN	ˈɛlɪmən
ELLING	ˈɛlɪŋ
ELLINGER	ˈɛlɪŋɝ
ELLINGSEN	ˈɛlɪŋsən
ELLINGSON	ˈɛlɪŋsən
ELLINGSWORTH	ˈɛlɪŋzwˌɝːθ
ELLINGTON	ˈɛlɪŋtən
ELLINGTON'S	ˈɛlɪŋtənz
ELLINGWOOD	ˈɛlɪŋwˌʊd
ELLINWOOD	ˈɛlɪnwˌʊd
ELLIOS	ˈɛljoʊs
ELLIOT	ˈɛliːət
ELLIOTT	ˈɛliːət
ELLIOTT'S	ˈɛliːəts
ELLIPSE	ɪlˈɪps
ELLIPSOID	ɪlˈɪpsɔɪd
ELLIPSOIDS	ɪlˈɪpsɔɪdz
ELLIPTICAL	ɪlˈɪptɪkəl
ELLIS	ˈɛlɪs
ELLIS'S	ˈɛlɪsɪz
ELLISON	ˈɛlɪsən
ELLISOR	ˈɛlɪsɝ
ELLISTON	ˈɛlɪstɑːn
ELLITHORPE	ˈɛlɪθɝp
ELLMAN	ˈɛlmən
ELLMANN	ˈɛlmən
ELLNER	ˈɛlnɝ
ELLROY	ˈɛlrˌɔɪ
ELLS	ˈɛlz
ELLSBERG	ˈɛlzbɝg
ELLSBERG'S	ˈɛlzbɝgz
ELLSBURG	ˈɛlzbɝg
ELLSWORTH	ˈɛlzwɝθ
ELLWANGER	ˈɛlwɔŋɝ
ELLWOOD	ˈɛlwˌʊd
ELLWOOD'S	ˈɛlwˌʊdz
ELLY	ˈɛli
ELLYN	ˈɛlɪn
ELLYSON	ˈɛlɪsən
ELLZEY	ˈɛlzi
ELM	ˈɛlm
ELMA	ˈɛlmə
ELMAN	ˈɛlmən
ELMENDORF	ˈɛlmɪndɔrf
ELMER	ˈɛlmɝ
ELMES	ˈɛlmz
ELMHURST	ˈɛlmhɝst
ELMIRA	ɛlmˈaɪrə
ELMO	ˈɛlmoʊ
ELMOOTAZBELL	ɛlmˈuːtˌəzbˌɛl
ELMOOTAZBELLAH	ɛlmˌuːtˌəzbˈɛlə
ELMORE	ˈɛlmɔr
ELMQUIST	ˈɛlmkwˌɪst
ELMS	ˈɛlmz
ELMSFORD	ˈɛlmzfɝd
ELMWOOD	ˈɛlmwˌʊd
ELNA	ɪlnˈɑː
ELNORA	ɛlnˈɔrə
ELNORE	ɪlnˈɔr
ELNOZAHY	ˌɛlnˈoʊzˈɑːhi
ELOCUTION	ˌɛləkjˈuːʃən
ELOCUTIONS	ˌɛləkjˈuːʃənz
ELOISA	ɛlˈɔɪsə
ELOISE	ɪlˈɔɪz
ELOISE(1)	ˈɛloʊiːz
ELOMMAL	ɪlˈoʊməl
ELONGATE	ɪlˈɔŋgeɪt
ELONGATED	ɪlˈɔŋgeɪtəd
ELONGATION	ˌiːlɔŋgˈeɪʃən
ELOPE	ɪlˈoʊp
ELOPED	ɪlˈoʊpd
ELOPES	ɪlˈoʊps
ELOQUENCE	ˈɛləkwəns
ELOQUENT	ˈɛləkwənt
ELOQUENTLY	ˈɛləkwəntli
ELOUISE	ˈɛləwˌiːz
ELOY	ˈiːlɔɪ
ELPERS	ˈɛlpɝz
ELRICA	ˈɛlrɪkə
ELRICH	ˈɛlrɪtʃ
ELRICK	ˈɛlrɪk
ELROD	ɪlrˈɑːd
ELRON	ˈɛlrən
ELROY	ɪlrˈɔɪ
ELS	ˈɛlz
ELSA	ˈɛlsə
ELSAS	ˈɛlsəz
ELSASSER	ˈɛlsəsɝ
ELSBERRY	ˈɛlzbˌɛri
ELSBURY	ˈɛlzbˌɛri
ELSDON	ˈɛlsdən
ELSE	ˈɛls
ELSE'S	ˈɛlsɪz
ELSEA	ˈɛlsiːə
ELSEN	ˈɛlsən
ELSER	ˈɛlsɝ
ELSES	ˈɛlsɪz
ELSESSER	ˈɛlsɪsɝ
ELSEVIER	ɛlsˈɛvjɝ
ELSEVIER(1)	ˈɛlsəvˌɪr
ELSEVIER'S	ɛlsˈɛvjɝz
ELSEVIER'S(1)	ˈɛlsəvˌɪrz
ELSEWHERE	ˈɛlswˌɛr
ELSEY	ˈɛlsi
ELSIE	ˈɛlsi
ELSIE'S	ˈɛlsiːz
ELSINORE	ˈɛlsənˌɔr
ELSNER	ˈɛlsnɝ
ELSON	ˈɛlsən
ELSTAD	ˈɛlstəd
ELSTER	ˈɛlstɝ
ELSTON	ɪlstˈɑːn
ELSWICK	ˈɛlzwˌɪk
ELSWORTH	ˈɛlzwˌɝːθ
ELTING	ˈɛltɪŋ
ELTON	ˈɛltən
ELTRINGHAM	ˈɛltrɪŋæm
ELTZROTH	ˈɛltsrɔθ
ELUCIDATE	ɪlˈuːsədˌeɪt
ELUCIDATED	ɪlˈuːsədˌeɪtəd
ELUCIDATIVE	ɪlˈuːsədˌeɪtɪv
ELUDE	ɪlˈuːd
ELUDED	ɪlˈuːdɪd
ELUDES	ɪlˈuːdz
ELUDING	ɪlˈuːdɪŋ
ELUSIVE	ɪlˈuːsɪv
ELUSIVENESS	ɪlˈuːsɪvnəs
ELVA	ˈɛlvə
ELVERA	eɪlvˈɛrə
ELVERS	ˈɛlvɝz
ELVES	ˈɛlvz
ELVGREN	ˈɛlvgrɛn
ELVIA	ˈɛlviːə
ELVIE	ˈɛlvi
ELVIN	ˈɛlvɪn
ELVINA	ɛlvˈiːnə
ELVING	ˈɛlvɪŋ
ELVINGTON	ˈɛlvɪŋtən
ELVIRA	ɛlvˈaɪrə
ELVIRE	ˈɛlvˌaɪr
ELVIS	ˈɛlvɪs
ELVIS'	ˈɛlvɪs
ELVIS'S	ˈɛlvɪsɪz
ELVY	ˈɛlvi
ELWAY	ˈɛlwˌeɪ
ELWAY'S	ˈɛlwˌeɪz
ELWELL	ɪlwˈɛl
ELWIN	ˈɛlwɪn
ELWOOD	ˈɛlwˌʊd
ELXSI	ˈɛlksi
ELY	ˈiːlaɪ
ELYN	ˈɛlɪn
ELYRIA	ɪlˈɪriːə
ELYSE	ˈɛlaɪs
ELYSEE	ˈɛlɪsˌiː
ELYSEE(1)	ˈɛliːsˌiː
ELYSEES	ˈɛlɪsˌiːz
ELYSEES(1)	ˈɛliːsˌiːz
ELYSIA	ɪlˈɪʒiːə
ELYSIA(1)	ɪlˈiːʒə
ELYSIUM	ɪlˈɪziːəm
ELZA	ˈɛlzə
ELZEY	ˈɛlzi
ELZINGA	ɛlzˈiːŋgə
ELZY	ˈɛlzi
EM	ˈɛm
EMA	ˈiːmə
EMACIATE	ɪmˈeɪʃiːˌeɪt
EMACIATED	ɪmˈeɪʃiːˌeɪtɪd
EMACIATES	ɪmˈeɪʃiːˌeɪts
EMACIATING	ɪmˈeɪʃiːˌeɪtɪŋ
EMACS	ˈiːmˌæks
EMAD	ˈiːmæd
EMAIL	iːmˈeɪl
EMAILED	iːmˈeɪld
EMAILING	iːmˈeɪlɪŋ
EMAILS	iːmˈeɪlz
EMANATE	ˈɛmənˌeɪt
EMANATED	ˈɛmənˌeɪtɪd
EMANATES	ˈɛməneɪts
EMANATING	ˈɛmənˌeɪtɪŋ
EMANATION	ˌɛmənˈeɪʃən
EMANATIONS	ˌɛmənˈeɪʃənz
EMANCIPATE	ɪmˈænsəpˌeɪt
EMANCIPATED	ɪmˈænsəpˌeɪtɪd
EMANCIPATES	ɪmˈænsəpˌeɪts
EMANCIPATING	ɪmˈænsəpˌeɪtɪŋ
EMANCIPATION	ɪmˌænsəpˈeɪʃən
EMANCIPATIONS	ɪmˌænsəpˈeɪʃənz
EMANUEL	ɪmˈænjuːəl
EMANUELE	eɪmɑːnuːˈɛleɪ
EMANUELSON	ɪmˈænuːlsən
EMARD	ˈɛmɝd
EMASCULATE	əmˈæskjuːlɪt
EMASCULATE(1)	əmˈæskjuːlˌeɪt
EMASCULATED	əmˈæskjuːlˌeɪtɪd
EMBALM	ɛmbˈɑːm
EMBALMED	ɛmbˈɑːmd
EMBALMING	ɛmbˈɑːmɪŋ
EMBANKMENT	ɛmbˈæŋkmənt
EMBANKMENTS	ɛmbˈæŋkmənts
EMBARCADERO	ɛmbˌɑːrkədˈɛroʊ
EMBARGO	ɛmbˈɑːrgoʊ
EMBARGOED	ɪmbˈɑːrgoʊd
EMBARGOES	ɛmbˈɑːrgoʊz
EMBARK	ɛmbˈɑːrk
EMBARK(1)	ɪmbˈɑːrk
EMBARKATION	ˌɛmbɑːrkˈeɪʃən
EMBARKED	ɛmbˈɑːrkt
EMBARKING	ɛmbˈɑːrkɪŋ
EMBARKS	ɪmbˈɑːrks
EMBARRASS	ɪmbˈɛrəs
EMBARRASSED	ɪmbˈɛrəst
EMBARRASSES	ɪmbˈærəsɪz
EMBARRASSING	ɪmbˈɛrəsɪŋ
EMBARRASSINGLY	ɪmbˈɛrəsɪŋli
EMBARRASSMENT	ɪmbˈɛrəsmənt
EMBARRASSMENTS	ɪmbˈɛrəsmənts
EMBASSIES	ˈɛmbəsiːz
EMBASSY	ˈɛmbəsi
EMBASSY'S	ˈɛmbəsiːz
EMBATTLE	ɛmbˈætəl
EMBATTLED	ɛmbˈætəld
EMBAYMENT	ɛmbˈeɪmənt
EMBED	ɪmbˈɛd
EMBEDDED	ɛmbˈɛdɪd
EMBEDDING	ɛmbˈɛdɪŋ
EMBELLISH	ɪmbˈɛlɪʃ
EMBELLISHED	ɛmbˈɛlɪʃt
EMBELLISHES	ɛmbˈɛlɪʃəz
EMBELLISHING	ɛmbˈɛlɪʃɪŋ
EMBELLISHMENT	ɛmbˈɛlɪʃmənt
EMBER	ˈɛmbɝ
EMBERS	ˈɛmbɝz
EMBERSON	ˈɛmbɝsən
EMBERTON	ɪmbˈɝːtən
EMBERTON(1)	ˈɛmbɝtən
EMBEZZLE	ɪmbˈɛzəl
EMBEZZLED	ɪmbˈɛzəld
EMBEZZLEMENT	ɛmbˈɛzəlmənt
EMBEZZLER	ɪmbˈɛzəlɝ
EMBEZZLER(1)	ɛmbˈɛzlɝ
EMBEZZLERS	ɪmbˈɛzəlɝz
EMBEZZLERS(1)	ɛmbˈɛzlɝz
EMBEZZLES	ɪmbˈɛzəlz
EMBEZZLING	ɪmbˈɛzəlɪŋ
EMBEZZLING(1)	ɛmbˈɛzlɪŋ
EMBEZZLING(2)	ɪmbˈɛzlɪŋ
EMBEZZLING(3)	ɛmbˈɛzəlɪŋ
EMBITTER	ɛmbˈɪtɝ
EMBITTERED	ɛmbˈɪtɝd
EMBLAZON	ɛmblˈeɪzən
EMBLAZONED	ɛmblˈeɪzənd
EMBLEM	ˈɛmbləm
EMBLEMATIC	ˌɛmbləmˈætɪk
EMBLEMS	ˈɛmbləmz
EMBLER	ˈɛmblɝ
EMBLETON	ˈɛmblɪtɑːn
EMBLETON(1)	ˈɛmbəltɑːn
EMBODIED	ɪmbˈɑːdiːd
EMBODIES	ɛmbˈɑːdiːz
EMBODIMENT	ɛmbˈɑːdiːmənt
EMBODY	ɪmbˈɑːdi
EMBODYING	ɪmbˈɑːdiːɪŋ
EMBOLDEN	ɛmbˈoʊldən
EMBOLDENED	ɛmbˈoʊldənd
EMBOLISM	ˈɛmboʊlˌɪzəm
EMBOLISMS	ˈɛmboʊlˌɪzəmz
EMBOSS	ɪmbˈɔs
EMBOSSED	ɪmbˈɔst
EMBRACE	ɛmbrˈeɪs
EMBRACE(1)	ɪmbrˈeɪs
EMBRACEABLE	ɪmbrˈeɪsəbəl
EMBRACED	ɛmbrˈeɪst
EMBRACES	ɛmbrˈeɪsɪz
EMBRACING	ɛmbrˈeɪsɪŋ
EMBREE	ɪmbrˈiː
EMBREY	ˈɛmbri
EMBROIDER	ɪmbrˈɔɪdɝ
EMBROIDERED	ɛmbrˈɔɪdɝd
EMBROIDERER	ɛmbrˈɔɪdɝɝ
EMBROIDERERS	ɛmbrˈɔɪdɝɝz
EMBROIDERIES	ɪmbrˈɔɪdɝiːz
EMBROIDERING	ɛmbrˈɔɪdɝɪŋ
EMBROIDERY	ɛmbrˈɔɪdɝi
EMBROIL	ɛmbrˈɔɪl
EMBROILED	ɛmbrˈɔɪld
EMBROSE	ˈɛmbroʊz
EMBRY	ˈɛmbri
EMBRYO	ˈɛmbriːˌoʊ
EMBRYOLOGY	ˌɛmbriːˈɑːlədʒi
EMBRYONIC	ˌɛmbriːˈɑːnɪk
EMBRYOS	ˈɛmbriːˌoʊz
EMBURY	ˈɛmbˌɛri
EMCEE	ˈɛmsˈiː
EMCH	ˈɛmtʃ
EMCO	ˈɛmkoʊ
EMDE	ˈɛmd
EMDR	ˈiːˈɛmdˈiːˈɑːr
EMEL	ˈɛməl
EMELDA	ɛmˈɛldə
EMELIE	ˈɛməli
EMELINA	ˌɛmɛlˈiːnə
EMELINE	ˈɛmɪlˌaɪn
EMELITA	ɛmɛlˈiːtə
EMELYNE	ˈɛmɪlaɪn
EMENS	ˈɛmɛnz
EMERA	ɛmˈɛrə
EMERALD	ˈɛmrəld
EMERALD(1)	ˈɛmɝrəld
EMERALDS	ˈɛmrəldz
EMERALDS(1)	ˈɛmɝrəldz
EMERANT	eɪmˈɛrənt
EMERAUDE	ˈɛmɝˌaʊd
EMERGE	ɪmˈɝːdʒ
EMERGE(1)	ˈiːmɝdʒ
EMERGED	ɪmˈɝːdʒd
EMERGED(1)	ˈiːmɝdʒd
EMERGENCE	ɪmˈɝːdʒəns
EMERGENCE(1)	ˈiːmɝdʒəns
EMERGENCIES	ɪmˈɝːdʒənsiːz
EMERGENCIES(1)	ˈiːmɝdʒənsiːz
EMERGENCY	ɪmˈɝːdʒənsi
EMERGENCY(1)	ˈiːmɝdʒənsi
EMERGENT	ɪmˈɝːdʒənt
EMERGENT(1)	ˈiːmɝdʒənt
EMERGES	ɪmˈɝːdʒɪz
EMERGES(1)	ˈiːmɝdʒɪz
EMERGING	ɪmˈɝːdʒɪŋ
EMERGING(1)	ˈiːmɝdʒɪŋ
EMERICH	ˈɛmɝɪk
EMERICK	ˈɛmɝɪk
EMERINE	ˈɛmɝˌiːn
EMERITUS	ɪmˈɛrətəs
EMERSE	ɪmˈɝːs
EMERSED	ɪmˈɝːst
EMERSON	ˈɛmɝsən
EMERSON'S	ˈɛmɝsənz
EMERT	ˈɛmɝt
EMERTON	ɪmˈɝːtən
EMERTON(1)	ˈɛmɝtən
EMERY	ˈɛmɝi
EMERY'S	ˈɛmɝiːz
EMERYVILLE	ˈɛmɝiːvˌɪl
EMETIC	ɪmˈɛtɪk
EMFINGER	ˈɛmfɪŋɝ
EMGE	ˈɛmdʒ
EMHART	ˈɛmhˌɑːrt
EMICK	ˈɛmɪk
EMIG	ˈɛmɪg
EMIGH	ˈɛmaɪ
EMIGRANT	ˈɛməgrənt
EMIGRANTS	ˈɛməgrənts
EMIGRATE	ˈɛməgrˌeɪt
EMIGRATED	ˈɛməgrˌeɪtɪd
EMIGRATES	ˈɛməgrˌeɪts
EMIGRATING	ˈɛməgrˌeɪtɪŋ
EMIGRATION	ˌɛməgrˈeɪʃən
EMIGRATIONS	ˌɛməgrˈeɪʃənz
EMIGRE	ˈɛməgrˌeɪ
EMIGRES	ˈɛməgrˌeɪz
EMIL	ɛmˈiːl
EMILE	eɪmˈiːl
EMILIA	əmˈiːliːə
EMILIE	ˈɛməli
EMILIO	əmˈiːliːoʊ
EMILO	ɛmˈiːloʊ
EMILO'S	ɛmˈiːloʊz
EMILY	ˈɛmɪli
EMILY'S	ˈɛmɪliːz
EMINA	ɛmˈiːnə
EMINASE	ˌɛmɪnˈɑːsi
EMINEM	ˌɛmɪnˈɛm
EMINENCE	ˈɛmənəns
EMINENCES	ˈɛmənənsɪz
EMINENT	ˈɛmənənt
EMINENTLY	ˈɛmənəntli
EMIR	ɪmˈɪr
EMIR(1)	eɪmˈɪr
EMIRATE	ˈɛmɝət
EMIRATE(1)	ˈɛmɝˌeɪt
EMIRATES	ˈɛmɝəts
EMIRATES(1)	ˈɛmɝˌeɪts
EMIRATES'	ˈɛmɝəts
EMIRATES'(1)	ˈɛmɝˌeɪts
EMISON	ˈɛmɪsən
EMISSARIES	ˈɛməsˌɛriːz
EMISSARY	ˈɛməsˌɛri
EMISSION	ɪmˈɪʃən
EMISSIONS	ɪmˈɪʃənz
EMIT	ɪmˈɪt
EMITS	ɪmˈɪts
EMITTED	ɪmˈɪtəd
EMITTED(1)	ɪmˈɪtɪd
EMITTER	ɪmˈɪtɝ
EMITTING	ɪmˈɪtɪŋ
EMLER	ˈɛmlɝ
EMLEY	ˈɛmli
EMLING	ˈɛmlɪŋ
EMLYN	ɪmlˈɪn
EMLYNNE	ɪmlˈaɪn
EMMA	ˈɛmə
EMMA'S	ˈɛməz
EMMALINE	ɛmɑːlˈiːni
EMMANUEL	ɪmˈænjuːəl
EMMANUELLE	ɪmˈɑːnuːˌɛl
EMMAUS	ˈɛmaʊs
EMME	ˈɛm
EMMEL	ˈɛməl
EMMELINE	ˈɛməlˌaɪn
EMMENDORFER	ˈɛmɪndɔrfɝ
EMMER	ˈɛmɝ
EMMERICH	ˈɛmɝɪk
EMMERLING	ˈɛmɝlɪŋ
EMMERSON	ˈɛmɝsən
EMMERT	ˈɛmɝt
EMMERY	ˈɛmɝi
EMMET	ˈɛmɪt
EMMETT	ˈɛmɪt
EMMI	ˈɛmi
EMMICK	ˈɛmɪk
EMMIE	ˈɛmi
EMMINGER	ˈɛmɪŋɝ
EMMIS	ˈɛmɪs
EMMIT	ˈɛmɪt
EMMITT	ˈɛmɪt
EMMONS	ˈɛmənz
EMMOTT	ˈɛmət
EMMY	ˈɛmi
EMMY'S	ˈɛmiːz
EMMYS	ˈɛmiːz
EMO	ˈiːmˌoʊ
EMOGENE	ˈɛməgiːn
EMOND	ˈɛmənd
EMORY	ˈɛmɝi
EMORY'S	ˈɛmɝiːz
EMOTICON	əmˈoʊtəkˌɑːn
EMOTION	ɪmˈoʊʃən
EMOTION(1)	ˈiːmˌoʊʃən
EMOTIONAL	ɪmˈoʊʃənəl
EMOTIONAL(1)	ˈiːmˌoʊʃənəl
EMOTIONALISM	iːmˈoʊʃənəlˌɪzəm
EMOTIONALISM(1)	ˈiːmoʊʃnəlˌɪzəm
EMOTIONALLY	ɪmˈoʊʃnəli
EMOTIONALLY(1)	ˈiːmˌoʊʃnəli
EMOTIONS	ɪmˈoʊʃənz
EMOTIONS(1)	ˈɪmˌoʊʃənz
EMOTIVE	ɪmˈoʊtɪv
EMOTIVE(1)	ˈiːmˌoʊtɪv
EMPANEL	ɪmpˈænəl
EMPANELED	ɪmpˈænəld
EMPANELING	ɛmpˈænəlɪŋ
EMPATH	ˈɛmpˌæθ
EMPATHETIC	ˌɛmpəθˈɛtɪk
EMPATHIZE	ˈɛmpəθˌaɪz
EMPATHY	ˈɛmpəθi
EMPEROR	ˈɛmpɝɝ
EMPEROR'S	ˈɛmpɝɝz
EMPERORS	ˈɛmpɝɝz
EMPEY	ˈɛmpi
EMPHASES	ˈɛmfəsˌiːz
EMPHASIS	ˈɛmfəsɪs
EMPHASIZE	ˈɛmfəsˌaɪz
EMPHASIZED	ˈɛmfəsˌaɪzd
EMPHASIZES	ˈɛmfəsˌaɪzɪz
EMPHASIZING	ˈɛmfəsˌaɪzɪŋ
EMPHATIC	ɛmfˈætɪk
EMPHATICALLY	ɛmfˈætɪkəli
EMPHYSEMA	ˌɛmfəzˈiːmə
EMPIE	ˈɛmpi
EMPIRE	ˈɛmpaɪɝ
EMPIRE'S	ˈɛmpaɪɝz
EMPIRES	ˈɛmpaɪɝz
EMPIRICAL	ˌɛmpˈɪrɪkəl
EMPIRICALLY	ɛmpˈɪrɪkəli
EMPIRICALLY(1)	ɛmpˈɪrɪkli
EMPIRICISM	ɛmpˈɪrəsˌɪzəm
EMPIRICIST	ɪmpˈɪrəsəst
EMPLACEMENT	ɪmplˈeɪsmənt
EMPLACEMENTS	ɪmplˈeɪsmənts
EMPLOY	ɛmplˈɔɪ
EMPLOY(1)	ɪmplˈɔɪ
EMPLOYABLE	ɛmplˈɔɪəbəl
EMPLOYED	ɛmplˈɔɪd
EMPLOYED(1)	ɪmplˈɔɪd
EMPLOYEE	ɛmplˈɔɪi
EMPLOYEE(1)	ɪmplˈɔɪi
EMPLOYEE'S	ɛmplˈɔɪiːz
EMPLOYEE'S(1)	ɪmplˈɔɪiːz
EMPLOYEES	ɛmplˈɔɪiːz
EMPLOYEES(1)	ɪmplˈɔɪiːz
EMPLOYEES'	ɛmplˈɔɪiːz
EMPLOYER	ɛmplˈɔɪɝ
EMPLOYER(1)	ɪmplˈɔɪɝ
EMPLOYER'S	ɛmplˈɔɪɝz
EMPLOYER'S(1)	ɪmplˈɔɪɝz
EMPLOYERS	ɛmplˈɔɪɝz
EMPLOYERS(1)	ɪmplˈɔɪɝz
EMPLOYERS'	ɛmplˈɔɪɝz
EMPLOYERS'(1)	ɪmplˈɔɪɝz
EMPLOYING	ɛmplˈɔɪɪŋ
EMPLOYING(1)	ɪmplˈɔɪɪŋ
EMPLOYMENT	ɛmplˈɔɪmənt
EMPLOYMENT(1)	ɪmplˈɔɪmənt
EMPLOYMENTS	ɛmplˈɔɪmənts
EMPLOYMENTS(1)	ɪmplˈɔɪmənts
EMPLOYS	ɛmplˈɔɪz
EMPLOYS(1)	ɪmplˈɔɪz
EMPORIA	ɛmpˈɔriːə
EMPORIUM	ˌɛmpˈɔriːəm
EMPOWER	ɪmpˈaʊɝ
EMPOWERED	ɪmpˈaʊɝd
EMPOWERING	ɪmpˈaʊɝɪŋ
EMPOWERMENT	ɪmpˈaʊɝmənt
EMPOWERS	ɪmpˈaʊɝz
EMPRESA	ɛmprˈɛsə
EMPRESAS	ɛmprˈɛsəz
EMPRESS	ˈɛmprɛs
EMPRISE	ɛmprˈaɪz
EMPSON	ˈɛmpsən
EMPT	ˈɛmpt
EMPT(1)	ˈɛmt
EMPTED	ˈɛmptɪd
EMPTED(1)	ˈɛmtɪd
EMPTIED	ˈɛmptiːd
EMPTIED(1)	ˈɛmtiːd
EMPTIER	ˈɛmptiːɝ
EMPTIER(1)	ˈɛmtiːɝ
EMPTIES	ˈɛmptiːz
EMPTIES(1)	ˈɛmtiːz
EMPTINESS	ˈɛmptiːnəs
EMPTINESS(1)	ˈɛmtiːnəs
EMPTING	ˈɛmptɪŋ
EMPTING(1)	ˈɛmtɪŋ
EMPTION	ˈɛmpʃən
EMPTIVE	ˈɛmptɪv
EMPTOR	ˈɛmptɝ
EMPTS	ˈɛmpts
EMPTY	ˈɛmpti
EMPTY(1)	ˈɛmti
EMPTY-HANDED	ˈɛmptiːhˈændɪd
EMPTYING	ˈɛmptiːɪŋ
EMPTYING(1)	ˈɛmtiːɪŋ
EMRICH	ˈɛmrɪk
EMRICK	ˈɛmrɪk
EMRY	ˈɛmri
EMSLIE	ˈɛmsəli
EMSWILER	ˈɛmzwˌaɪlɝ
EMU	ˈiːmjˌuː
EMUIL	ˈɛmjuːˌɪl
EMUIL'S	ˈɛmjuːˌɪlz
EMULATE	ˈɛmjəlˌeɪt
EMULATED	ˈɛmjəlˌeɪtɪd
EMULATES	ˈɛmjəlˌeɪts
EMULATING	ˈɛmjəlˌeɪtɪŋ
EMULATION	ˌɛmjəlˈeɪʃən
EMULEX	ˈɛmjuːləks
EMULSIFIER	ɪmˈʌlsəfˌaɪɝ
EMULSION	ɪmˈʌlʃən
EN	ˈɛn
ENA	ˈɛnə
ENABLE	ɛnˈeɪbəl
ENABLE(1)	ɪnˈeɪbəl
ENABLED	ɛnˈeɪbəld
ENABLED(1)	ɪnˈeɪbəld
ENABLER	ɛnˈeɪbəlɝ
ENABLER(1)	ɛnˈeɪblɝ
ENABLER(2)	ɪnˈeɪblɝ
ENABLER(3)	ɪnˈeɪbəlɝ
ENABLES	ɛnˈeɪbəlz
ENABLES(1)	ɪnˈeɪbəlz
ENABLING	ɛnˈeɪbəlɪŋ
ENABLING(1)	ɪnˈeɪbəlɪŋ
ENABLING(2)	ɪnˈeɪblɪŋ
ENACT	ɪnˈækt
ENACTED	ɛnˈæktəd
ENACTING	ɛnˈæktɪŋ
ENACTMENT	ɛnˈæktmənt
ENACTMENT(1)	ɛnˈækmənt
ENACTMENTS	ˌɛnˈæktmənts
ENACTMENTS(1)	ˌɛnˈækmənts
ENACTMENTS(2)	ˌɛnˈækməns
ENACTS	ˌɪnˈækts
ENAMEL	ɪnˈæməl
ENAMELED	ɪnˈæməld
ENAMELS	ɪnˈæməlz
ENAMOR	ɛnˈæmɝ
ENAMORED	ɛnˈæmɝd
ENAMORING	ɛnˈæmɝɪŋ
ENAMORS	ɛnˈæmɝz
ENASA	eɪnˈɑːsə
ENBERG	ˈɛnbɝg
ENCAMP	ɪnkˈæmp
ENCAMPED	ɪnkˈæmpt
ENCAMPMENT	ɪnkˈæmpmɪnt
ENCAMPMENTS	ɪnkˈæmpmɪnts
ENCAPSULATE	ɛnkˈæpsəlˌeɪt
ENCAPSULATED	ɛnkˈæpsəlˌeɪtɪd
ENCAPSULATING	ɛnkˈæpsəlˌeɪtɪŋ
ENCARNACION	ɛnkˌɑːrnɑːsjˈɔn
